DATETIME,COUNTRY,PRICE
2023-01-01 01:00:00,espanha,0.0
2023-01-01 01:00:00,portugal,0.0
2023-01-01 02:00:00,portugal,0.0
2023-01-01 02:00:00,espanha,0.0
2023-01-01 03:00:00,portugal,0.0
2023-01-01 03:00:00,espanha,0.0
2023-01-01 04:00:00,portugal,0.0
2023-01-01 04:00:00,espanha,0.0
2023-01-01 05:00:00,portugal,0.0
2023-01-01 05:00:00,espanha,0.0
2023-01-01 06:00:00,portugal,0.0
2023-01-01 06:00:00,espanha,0.0
2023-01-01 07:00:00,portugal,0.0
2023-01-01 07:00:00,espanha,0.0
2023-01-01 08:00:00,portugal,0.0
2023-01-01 08:00:00,espanha,0.0
2023-01-01 09:00:00,portugal,0.0
2023-01-01 09:00:00,espanha,0.0
2023-01-01 10:00:00,portugal,0.0
2023-01-01 10:00:00,espanha,0.0
2023-01-01 11:00:00,portugal,0.0
2023-01-01 11:00:00,espanha,0.0
2023-01-01 12:00:00,espanha,0.0
2023-01-01 12:00:00,portugal,0.0
2023-01-01 13:00:00,portugal,0.0
2023-01-01 13:00:00,espanha,0.0
2023-01-01 14:00:00,portugal,0.1
2023-01-01 14:00:00,espanha,0.1
2023-01-01 15:00:00,portugal,0.1
2023-01-01 15:00:00,espanha,0.1
2023-01-01 16:00:00,espanha,0.01
2023-01-01 16:00:00,portugal,0.01
2023-01-01 17:00:00,espanha,1.0
2023-01-01 17:00:00,portugal,1.0
2023-01-01 18:00:00,portugal,4.16
2023-01-01 18:00:00,espanha,4.16
2023-01-01 19:00:00,portugal,15.1
2023-01-01 19:00:00,espanha,15.1
2023-01-01 20:00:00,espanha,19.51
2023-01-01 20:00:00,portugal,19.51
2023-01-01 21:00:00,portugal,24.61
2023-01-01 21:00:00,espanha,24.61
2023-01-01 22:00:00,portugal,40.07
2023-01-01 22:00:00,espanha,40.07
2023-01-01 23:00:00,portugal,40.07
2023-01-01 23:00:00,espanha,40.07
2023-01-02 00:00:00,portugal,16.0
2023-01-02 00:00:00,espanha,16.0
2023-01-02 01:00:00,espanha,61.38
2023-01-02 01:00:00,portugal,61.38
2023-01-02 02:00:00,espanha,42.17
2023-01-02 02:00:00,portugal,42.17
2023-01-02 03:00:00,portugal,42.0
2023-01-02 03:00:00,espanha,42.0
2023-01-02 04:00:00,portugal,42.07
2023-01-02 04:00:00,espanha,42.07
2023-01-02 05:00:00,espanha,42.17
